"Index:	FREQUENCY:	AMPLITUDE:	BIAS:	GAMMA:	Pressure:	TimeMark:"
"000000162	022012.075	000.745693	-0.039503	3.158387e-07	0.0e+00	00:00:25.016"
"000000163	022012.150	000.626235	-0.038268	2.649649e-07	0.0e+00	00:00:25.172"
"000000164	022012.225	000.767477	-0.036516	3.242450e-07	0.0e+00	00:00:25.328"
"000000165	022012.300	000.658298	-0.036054	2.780101e-07	0.0e+00	00:00:25.485"
"000000166	022012.375	000.675379	-0.035509	2.850924e-07	0.0e+00	00:00:25.641"
"000000167	022012.450	000.568484	-0.034699	2.398056e-07	0.0e+00	00:00:25.797"
"000000168	022012.525	000.469872	-0.033953	1.980834e-07	0.0e+00	00:00:25.953"
"000000169	022012.600	000.528001	-0.032486	2.223138e-07	0.0e+00	00:00:26.110"
"000000170	022012.675	000.497456	-0.031571	2.092914e-07	0.0e+00	00:00:26.266"
"000000171	022012.750	000.556940	-0.031374	2.342789e-07	0.0e+00	00:00:26.422"
"000000172	022012.825	000.389310	-0.030375	1.636272e-07	0.0e+00	00:00:26.578"
"000000173	022012.900	000.453836	-0.029340	1.905818e-07	0.0e+00	00:00:26.735"
"000000174	022012.975	000.450754	-0.028214	1.891088e-07	0.0e+00	00:00:26.891"
"000000175	022013.050	000.480282	-0.027401	2.013595e-07	0.0e+00	00:00:27.047"
"000000176	022013.125	000.425016	-0.027591	1.782175e-07	0.0e+00	00:00:27.203"
"000000177	022013.200	000.391269	-0.026476	1.639133e-07	0.0e+00	00:00:27.360"
"000000178	022013.275	000.397781	-0.025231	1.664677e-07	0.0e+00	00:00:27.516"
"000000179	022013.350	000.353052	-0.024053	1.476034e-07	0.0e+00	00:00:27.672"
"000000180	022013.425	000.393739	-0.023110	1.644841e-07	0.0e+00	00:00:27.828"
"000000181	022013.500	000.300277	-0.023006	1.254297e-07	0.0e+00	00:00:27.985"
"000000182	022013.575	000.280786	-0.021866	1.171764e-07	0.0e+00	00:00:28.141"
"000000183	022013.650	000.213544	-0.021353	8.907707e-08	0.0e+00	00:00:28.297"
